"lag","mean_mu","mean_rho","mean_sigma","mean_w_0","mean_w_1","all","group"
-1,0,0.526739057617802,0.482406256958846,0.499304956479853,0.730175165922663,1.45104088803161,1
5,0,0.467238195535605,0.397979318740165,0.425967136168076,0.325715629801009,0.991619177282874,1
10,0,0.466478570836306,0.374134305978756,0.408343752369521,0.34241793295893,0.987640253717075,1
15,0,0.401453818708125,0.38383274484,0.450847413642799,0.325031296227953,0.980657631649498,1
20,0,0.481232375987301,0.304880640811697,0.440548086647259,0.332429178654864,0.98359553034863,1
25,0,0.397122636464352,0.305406828130584,0.39885930735193,0.312178485101209,0.881897732749885,1
30,0,0.41177182346169,0.2764495613577,0.389984268672744,0.321921861614548,0.881923835527137,1
35,0,0.396287854529287,0.266177246931629,0.41118846224507,0.347093113007651,0.893543938759826,1
40,0,0.405987307857184,0.252360880207492,0.441266861797103,0.344571500581161,0.914323060812777,1
45,0,0.393647636764828,0.252828790915633,0.417584056215527,0.322257944687961,0.879043796923922,1
50,0,0.389283192034347,0.237182676981167,0.400016653518468,0.298114339462334,0.844424737321396,1
55,0,0.372716783242092,0.190849744865797,0.444457344047432,0.280972952720302,0.827264093983785,1
60,0,0.418766701140095,0.245345605682155,0.416512550767039,0.312389571194183,0.911724463849623,1
65,0,0.32384111965021,0.304872128355546,0.425267289170219,0.342808022085139,0.898140394624779,1
70,0,0.302568233687466,0.242945564421765,0.427200867392648,0.318513978895839,0.832461657616895,1
80,0,0.338900722774272,0.232433101783204,0.416603722876888,0.360385489712915,0.874855361277108,1
90,0,0.321824323447625,0.273294564224321,0.424090885978178,0.336039439440804,0.867828959973459,1
100,0,0.351987352574365,0.223170368191035,0.42514024487692,0.306122612644158,0.851775795794027,1
110,0,0.253027405337751,0.258278253599989,0.417781275747156,0.308336657102045,0.804377143595642,1
120,0,0.294360478457778,0.260317998787927,0.440649893165529,0.332042055380813,0.867159441336312,1
130,0,0.268362151244256,0.235273684077941,0.449101822381885,0.295546718776788,0.812911940504135,1
140,0,0.309707907107052,0.218759099174329,0.421878673539005,0.337212002367059,0.837443853436713,1
150,0,0.305294742920974,0.324861498241046,0.433807480500989,0.329229888606413,0.90974963758129,1
-1,0,0.534635416263212,0.477401108814191,0.411920917646631,0.35203969377168,0.96290407734992,2
5,0,0.54377191281378,0.42282297894475,0.434960134980787,0.355874652100018,0.95338414891272,2
10,0,0.569136585890729,0.410834940780168,0.423215151526917,0.357601740044819,0.971684219089463,2
15,0,0.54055317197345,0.38516323288061,0.434956849188838,0.356658254643763,0.939718847741451,2
20,0,0.514812903743763,0.364280529564956,0.410434204874032,0.366811640405856,0.905100298317274,2
25,0,0.520146675150477,0.359774945765748,0.42429025158438,0.3577914284705,0.904897591511819,2
30,0,0.467728087174752,0.332776038099878,0.414198526065906,0.343208085697272,0.849495278294917,2
35,0,0.468330513665664,0.33971576248053,0.428563187547411,0.347902596364584,0.863125936525878,2
40,0,0.457839352533844,0.323442965745471,0.432761164596528,0.354529641181129,0.854726064081518,2
45,0,0.47281686234087,0.331525103645179,0.43329412326237,0.342504287422194,0.865200936160641,2
50,0,0.451517765770754,0.313603159648537,0.414362151662589,0.347644309007379,0.83449812812038,2
55,0,0.441221848055405,0.340845266068684,0.429664384702274,0.353249362612626,0.857749775450574,2
60,0,0.441851815437485,0.325807440566654,0.420010751534665,0.354042772745341,0.837495443656144,2
65,0,0.453533496541695,0.373957781332952,0.412419495185246,0.350744180737239,0.876461299193104,2
70,0,0.431487742185671,0.340887992043566,0.415999482515114,0.356439504816887,0.839144452396604,2
80,0,0.413235255362529,0.333997176356065,0.420857666799849,0.357251681238108,0.825260337124897,2
90,0,0.418536079520745,0.332486056378261,0.423425704704113,0.340232592600517,0.828574621785167,2
100,0,0.429090766388159,0.379863512183213,0.421750765710297,0.348199737182287,0.86964651069387,2
110,0,0.421366204189007,0.349388402203679,0.410879322986789,0.344108207181717,0.832788175093386,2
120,0,0.415142881726364,0.34289504773124,0.404771231572391,0.345261857848062,0.820479484776282,2
130,0,0.414147959965112,0.338620183797418,0.411325119122883,0.349848658015589,0.82430397631756,2
140,0,0.427881533301785,0.382773024954282,0.408385000155974,0.338669459876125,0.858567958349125,2
150,0,0.420305151805024,0.37586925062322,0.433242988019272,0.352431053222982,0.872626052684794,2
